Category,Activity,METS,20 min,40 min,60 min,20 min,40 min,60 min,Intensity,Equipment Required,Cardio,Upper,Lower,Core
Aerobics,Aerobics (Low Impact),5.247251666,1.749083889,3.498167777,5.247251666,0.33,0.67,1,Moderate,None,1,0,0,0
Aerobics,Aerobics,6.504508026,2.168169342,4.336338684,6.504508026,0.33,0.67,1,High,None,1,0,0,0
Aerobics,Aerobics (High Impact),7.212104674,2.404034891,4.808069783,7.212104674,0.33,0.67,1,High,None,1,0,0,0
Aerobics,Step Aerobics (Low Impact),7.400584795,2.466861598,4.933723197,7.400584795,0.33,0.67,1,High,Elevated Platform,1,0,0,0
Aerobics,Step Aerobics,8.508079455,2.836026485,5.67205297,8.508079455,0.33,0.67,1,High,Elevated Platform,1,0,0,0
Aerobics,Step Aerobics (High Impact),10.5754386,3.525146199,7.050292398,10.5754386,0.33,0.67,1,High,Elevated Platform,1,0,0,0
Aerobics,Water Aerobics,4.235254804,1.411751601,2.823503202,4.235254804,0.33,0.67,1,Moderate,"Swimming Costume, Swimming Pool",1,0,0,0
Archery,Non Hunting Archery,3.586416278,1.195472093,2.390944185,3.586416278,0.33,0.67,1,Moderate,Bow & Arrows,0,1,0,0
Basketball,Basketball - Shooting Baskets,4.507556807,1.502518936,3.005037871,4.507556807,0.33,0.67,1,Moderate,Basketball,0,1,0,0
Bicycling,Stationary Bicycling (Moderate),7.400584795,2.466861598,4.933723197,7.400584795,0.33,0.67,1,High,Stationary Bicycle,1,0,1,0
Bicycling,Stationary Bicycling (Vigorous),11.10643275,3.70214425,7.404288499,11.10643275,0.33,0.67,1,High,Stationary Bicycle,1,0,1,0
Billiards,Billiards,2.643859649,0.88128655,1.762573099,2.643859649,0.33,0.67,1,Low,Pool Table & Cues,0,1,0,0
Boating,"Boating, Power, Speed Boat",2.503985378,0.834661793,1.669323585,2.503985378,0.33,0.67,1,Low,"Speed Boat, Paddle, Safety Vest ",0,0,0,0
Bowling,Bowling,3.0526652,1.017555067,2.035110133,3.0526652,0.33,0.67,1,Moderate,Bowling Balls and Shoes,0,0,0,0
Boxing,Boxing - Punching Bag,6.001045296,2.000348432,4.000696864,6.001045296,0.33,0.67,1,High,Punching Bag & Boxing Gloves,0,1,0,0
Calisthenics,"Calisthenics - Pushups, Situps (Light)",3.503985378,1.167995126,2.335990252,3.503985378,0.33,0.67,1,Moderate,None,0,0,0,1
Calisthenics,"Calisthenics - Pushups, Situps (Moderate)",4.756725146,1.585575049,3.171150097,4.756725146,0.33,0.67,1,Moderate,None,0,0,0,1
Calisthenics,"Calisthenics - Pushups, Situps (Vigorous)",8.202419841,2.734139947,5.468279894,8.202419841,0.33,0.67,1,High,None,0,0,0,1
Canoeing,"Canoeing, Rowing (Light)",3.000522648,1.000174216,2.000348432,3.000522648,0.33,0.67,1,Moderate,Paddle & Safety Vest,0,1,0,0
Canoeing,"Canoeing, Rowing (Moderate)",7.004616725,2.334872242,4.669744483,7.004616725,0.33,0.67,1,High,Paddle & Safety Vest,0,1,0,0
Canoeing,"Canoeing, Rowing (Vigorous)",12.00782754,4.002609182,8.005218363,12.00782754,0.33,0.67,1,High,Paddle & Safety Vest,0,1,0,0
Circuit Training,Circuit Training (Moderate),8.007304897,2.669101632,5.338203265,8.007304897,0.33,0.67,1,High,None,0,0,0,1
Circuit Training,Circuit Training (Vigorous),8.462573099,2.8208577,5.6417154,8.462573099,0.33,0.67,1,High,None,0,0,0,1
Cycling,Cycling < 16km/h (Leisure Bicycling),4.000522648,1.333507549,2.667015099,4.000522648,0.33,0.67,1,Moderate,"Bicycle, Biking/Skating helmet",1,0,1,0
Cycling,Cycling 19 - 22 km/h (Moderate),7.101732568,2.367244189,4.734488379,7.101732568,0.33,0.67,1,High,"Bicycle, Biking/Skating helmet",1,0,1,0
Cycling,Cycling 22 - 32 km/h (Vigorous),11.13139734,3.710465779,7.420931558,11.13139734,0.33,0.67,1,High,"Bicycle, Biking/Skating helmet",1,0,1,0
Cycling,Cycling > 32km/h (Racing),16.63019223,5.543397411,11.08679482,16.63019223,0.33,0.67,1,High,"Bicycle, ",1,0,1,0
Dancing,"Dancing - Slow, Waltz, Foxtrot",3.174853801,1.0582846,2.116569201,3.174853801,0.33,0.67,1,Moderate,None,0,0,0,0
Dancing,"Dancing - Ballet, Twist, Jazz, Tap",4.507556807,1.502518936,3.005037871,4.507556807,0.33,0.67,1,Moderate,None,0,0,0,0
Dancing,"Dancing - Disco, Ballroom, Square",5.287719298,1.762573099,3.525146199,5.287719298,0.33,0.67,1,Moderate,None,0,0,0,0
Dancing,"Dancing - Fast, Ballet, Twist",6.340183793,2.113394598,4.226789195,6.340183793,0.33,0.67,1,High,None,0,0,0,0
Darts,"Darts - Wall, Lawn",2.503985378,0.834661793,1.669323585,2.503985378,0.33,0.67,1,Low,Dart Board & Darts,0,1,0,0
Diving,Diving - Springboard or Platform,3.000522648,1.000174216,2.000348432,3.000522648,0.33,0.67,1,Moderate,"Swimming Costume, Swimming Pool",0,0,0,0
Elliptical Training,Elliptical Training,9.522974102,3.174324701,6.348649401,9.522974102,0.33,0.67,1,High,Elliptical Trainer Machine,0,0,0,0
Fishing,Fishing from Boat - Sitting,2.503985378,0.834661793,1.669323585,2.503985378,0.33,0.67,1,Low,Fishing Equipment,0,0,0,0
Fishing,Fishing from Riverbank - Standing,3.503985378,1.167995126,2.335990252,3.503985378,0.33,0.67,1,Moderate,Fishing Equipment,0,0,0,0
Fishing,Fishing from Riverbank - Walking,4.000522648,1.333507549,2.667015099,4.000522648,0.33,0.67,1,Moderate,Fishing Equipment,0,0,0,0
Golf,"Golf - Driving Range, Miniature Golf",3.000522648,1.000174216,2.000348432,3.000522648,0.33,0.67,1,Moderate,"Golf Club, Golf Course",0,0,0,0
Golf,Golf - Using Power Cart,3.586416278,1.195472093,2.390944185,3.586416278,0.33,0.67,1,Moderate,"Golf Club, Golf Course",0,0,0,0
Golf,Golf - Walking and Pulling Clubs,4.303804812,1.434601604,2.869203208,4.303804812,0.33,0.67,1,Moderate,"Golf Club, Golf Course",0,0,0,0
Golf,Golf - Walking and Carrying Clubs,5.069481083,1.689827028,3.379654055,5.069481083,0.33,0.67,1,Moderate,"Golf Club, Golf Course",0,0,0,0
Gymnastics,Gymnastics,4.235254804,1.411751601,2.823503202,4.235254804,0.33,0.67,1,Moderate,,0,1,1,1
Hiking,Hiking,6,2,4,6,0.33,0.67,1,High,Hiking Boots,0,0,0,0
Hiking,Hiking - Cross Country,6.340183793,2.113394598,4.226789195,6.340183793,0.33,0.67,1,High,Hiking Boots,0,0,0,0
Hiking,Hiking with Pack,7.004616725,2.334872242,4.669744483,7.004616725,0.33,0.67,1,High,Hiking Boots,0,0,0,0
Horseback Riding,Horseback Riding,4.235254804,1.411751601,2.823503202,4.235254804,0.33,0.67,1,Moderate,"Horse, Protection Boots, Gloves, Jodhpurs",0,0,0,0
Ice Skating,Ice Skating,7.200292398,2.400097466,4.800194932,7.200292398,0.33,0.67,1,High,"Skating shoes, Ice Skating Rink",0,0,0,0
Kayaking,Kayaking,5.287719298,1.762573099,3.525146199,5.287719298,0.33,0.67,1,Moderate,Paddle & Safety Vest,0,1,0,0
Rock Climbing,Rock Climbing - Rappelling,8.462573099,2.8208577,5.6417154,8.462573099,0.33,0.67,1,High,"Rock Climbing Wall, Rock Climbing equipment",0,1,0,0
Rock Climbing,Rock Climbing - Ascending,11.62790309,3.875967697,7.751935394,11.62790309,0.33,0.67,1,High,"Rock Climbing Wall, Rock Climbing equipment",0,1,0,0
Rollerblading,Rollerblading,7.453114227,2.484371409,4.968742818,7.453114227,0.33,0.67,1,High,"Rollerblades, Paddle & Safety Vest",0,0,1,0
Rope Jumping,Rope Jumping,10.5754386,3.525146199,7.050292398,10.5754386,0.33,0.67,1,High,Jumping Ropes,1,0,0,0
Rowing - Stationary,Rowing - Stationary (Moderate),7.400584795,2.466861598,4.933723197,7.400584795,0.33,0.67,1,High,Paddle & Safety Vest,0,1,0,0
Rowing - Stationary,Rowing - Stationary (Vigorous),8.984043442,2.994681147,5.989362295,8.984043442,0.33,0.67,1,High,Paddle & Safety Vest,0,1,0,0
Running,Running pace: 7.5min/km,8.381424125,2.793808042,5.587616084,8.381424125,0.33,0.67,1,High,None,1,0,1,0
Running,Running pace:7-6min/km,9.8737956,3.2912652,6.5825304,9.8737956,0.33,0.67,1,High,None,1,0,1,0
Running,Running 6-5min/km,12.42360067,4.141200223,8.282400446,12.42360067,0.33,0.67,1,High,None,1,0,1,0
Running,Running <5 min/km,16.3933584,5.464452799,10.9289056,16.3933584,0.33,0.67,1,High,None,1,0,1,0
Scuba or Skin Diving,Scuba or Skin Diving,7.400584795,2.466861598,4.933723197,7.400584795,0.33,0.67,1,High,"Diving equipment, Open Water",0,0,0,0
Skateboarding,Skateboarding,5.287719298,1.762573099,3.525146199,5.287719298,0.33,0.67,1,Moderate,Skateboard,0,0,0,0
Ski Machine,Ski Machine,10.04444444,3.348148148,6.696296296,10.04444444,0.33,0.67,1,High,"Ski Poles, Gloves, Helmet, Boots, Goggles",0,0,0,0
Snorkeling,Snorkeling,5.287719298,1.762573099,3.525146199,5.287719298,0.33,0.67,1,Moderate,"Diving equipment, Open Water",0,0,0,0
Stair Step Machine,Stair Step Machine,6.340183793,2.113394598,4.226789195,6.340183793,0.33,0.67,1,High,Stair Step Machine,1,0,1,0
Swimming,Swimming,6.069239144,2.023079715,4.04615943,6.069239144,0.33,0.67,1,High,Swimming Costume,1,0,0,0
Swimming,Swimming (Vigorous),10.18686655,3.395622182,6.791244364,10.18686655,0.33,0.67,1,High,Swimming Costume,1,0,0,0
Tai Chi,Tai Chi,3.617627402,1.205875801,2.411751601,3.617627402,0.33,0.67,1,Moderate,None,0,0,0,0
Walking,Walking 20min/km,2.798294496,0.932764832,1.865529664,2.798294496,0.33,0.67,1,Low,None,1,0,0,0
Walking,Walking 5pace: 11-9min/km,4.634485104,1.544828368,3.089656736,4.634485104,0.33,0.67,1,Moderate,None,1,0,0,0
Walking,Walking <9 min/km,5.287719298,1.762573099,3.525146199,5.287719298,0.33,0.67,1,Moderate,None,1,0,0,0
