Activity,METS,Time,Input Time,Input MET,Input BMI
Aerobics (Low Impact),1.749083889,20,60,30,50
Aerobics,2.168169342,20,,,
Aerobics (High Impact),2.404034891,20,,,
Step Aerobics (Low Impact),2.466861598,20,,,
Step Aerobics,2.836026485,20,,,
Step Aerobics (High Impact),3.525146199,20,,,
Water Aerobics,1.411751601,20,,,
Non Hunting Archery,1.195472093,20,,,
Basketball - Shooting Baskets,1.502518936,20,,,
Stationary Bicycling (Moderate),2.466861598,20,,,
Stationary Bicycling (Vigorous),3.70214425,20,,,
Billiards,0.88128655,20,,,
"Boating, Power, Speed Boat",0.834661793,20,,,
Bowling,1.017555067,20,,,
Boxing - Punching Bag,2.000348432,20,,,
"Calisthenics - Pushups, Situps (Light)",1.167995126,20,,,
"Calisthenics - Pushups, Situps (Moderate)",1.585575049,20,,,
"Calisthenics - Pushups, Situps (Vigorous)",2.734139947,20,,,
"Canoeing, Rowing (Light)",1.000174216,20,,,
"Canoeing, Rowing (Moderate)",2.334872242,20,,,
"Canoeing, Rowing (Vigorous)",4.002609182,20,,,
Circuit Training (Moderate),2.669101632,20,,,
Circuit Training (Vigorous),2.8208577,20,,,
Cycling < 16km/h (Leisure Bicycling),1.333507549,20,,,
Cycling 19 - 22 km/h (Moderate),2.367244189,20,,,
Cycling 22 - 32 km/h (Vigorous),3.710465779,20,,,
Cycling > 32km/h (Racing),5.543397411,20,,,
"Dancing - Slow, Waltz, Foxtrot",1.0582846,20,,,
"Dancing - Ballet, Twist, Jazz, Tap",1.502518936,20,,,
"Dancing - Disco, Ballroom, Square",1.762573099,20,,,
"Dancing - Fast, Ballet, Twist",2.113394598,20,,,
"Darts - Wall, Lawn",0.834661793,20,,,
Diving - Springboard or Platform,1.000174216,20,,,
Elliptical Training,3.174324701,20,,,
Fishing from Boat - Sitting,0.834661793,20,,,
Fishing from Riverbank - Standing,1.167995126,20,,,
Fishing from Riverbank - Walking,1.333507549,20,,,
"Golf - Driving Range, Miniature Golf",1.000174216,20,,,
Golf - Using Power Cart,1.195472093,20,,,
Golf - Walking and Pulling Clubs,1.434601604,20,,,
Golf - Walking and Carrying Clubs,1.689827028,20,,,
Gymnastics,1.411751601,20,,,
Hiking,2,20,,,
Hiking - Cross Country,2.113394598,20,,,
Hiking with Pack,2.334872242,20,,,
Horseback Riding,1.411751601,20,,,
Ice Skating,2.400097466,20,,,
Kayaking,1.762573099,20,,,
Rock Climbing - Rappelling,2.8208577,20,,,
Rock Climbing - Ascending,3.875967697,20,,,
Rollerblading,2.484371409,20,,,
Rope Jumping,3.525146199,20,,,
Rowing - Stationary (Moderate),2.466861598,20,,,
Rowing - Stationary (Vigorous),2.994681147,20,,,
Running pace: 7.5min/km,2.793808042,20,,,
Running pace:7-6min/km,3.2912652,20,,,
Running 6-5min/km,4.141200223,20,,,
Running <5 min/km,5.464452799,20,,,
Scuba or Skin Diving,2.466861598,20,,,
Skateboarding,1.762573099,20,,,
Ski Machine,3.348148148,20,,,
Snorkeling,1.762573099,20,,,
Stair Step Machine,2.113394598,20,,,
